,geocode_query,lat,lon
473,"Астана, Нажимеденова 37",51.1095197,71.5398217
474,"Астана, Манаса 11/1",51.1579854,71.4883694
475,"Алматы, Сакен Жунисов 2/25",,
476,"Астана, Бейсекбаева 9",51.1636805,71.4528811
477,"Астана, ул. Кайрата Рыскулбекова 27/2",51.159072,71.4994825
478,"Астана, Турар Рыскулов САМаЯ НИЗКаЯ ЦЕНа 16/2",,
479,"Алматы, Сатпаева 63",43.2353142,76.8966964
480,"Астана, А.Байтурсынова 47",51.1182926,71.512143
481,"Шымкент, Мкр. Асар-2 12",,
482,"Астана, Е 900 6",51.1338723,71.3954874
483,"Астана, Ивана Панфилова 85",,
484,"Астана, Калдаякова 23/2",51.1156164,71.4777635
485,"Астана, Тауелсиздик 38/4",51.1187705,71.4669439
486,"Астана, Пересечение ул Казыбек Би и Е75,Е77 (рядом с пересечением улиц Туран и Улы дала) 40",,
487,"Астана, Сокпакбаева 16",51.1729302,71.3891431
488,"Астана, проспект улы дала",51.0980508,71.4086695
